,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
SRAM Area,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672,0.6312672
DRAM Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clock Area,0.042,0.063,0.10500000000000001,0.189,0.35700000000000004,0.6930000000000001,1.365,0.063,0.084,0.126,0.21000000000000002,0.378,0.7140000000000001,1.3860000000000001,0.10500000000000001,0.126,0.168,0.252,0.42000000000000004,0.756,1.4280000000000002,0.189,0.21000000000000002,0.252,0.336,0.504,0.8400000000000001,1.512,0.35700000000000004,0.378,0.42000000000000004,0.504,0.672,1.008,1.6800000000000002,0.6930000000000001,0.7140000000000001,0.756,0.8400000000000001,1.008,1.344,2.016,1.365,1.3860000000000001,1.4280000000000002,1.512,1.6800000000000002,2.016,2.688
Rx AFE Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCs Power,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.48780487804873,760.9756097560975,1521.951219512195,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952
PS Power,11.414634146341465,17.121951219512198,28.53658536585366,51.36585365853659,97.02439024390245,188.34146341463418,370.9756097560976,17.1219512195122,22.82926829268293,34.243902439024396,57.07317073170732,102.73170731707317,194.04878048780486,376.6829268292683,28.536585365853664,34.243902439024396,45.65853658536586,68.48780487804879,114.14634146341464,205.46341463414635,388.0975609756098,51.365853658536594,57.07317073170732,68.48780487804879,91.31707317073172,136.97560975609758,228.2926829268293,410.9268292682927,97.02439024390246,102.73170731707317,114.14634146341464,136.97560975609758,182.63414634146343,273.95121951219517,456.5853658536586,188.34146341463418,194.0487804878049,205.46341463414635,228.2926829268293,273.95121951219517,365.26829268292687,547.9024390243903,370.9756097560976,376.68292682926835,388.09756097560984,410.9268292682927,456.5853658536586,547.9024390243903,730.5365853658537
ODAC Drivers Power,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.48780487804873,760.9756097560975,1521.951219512195,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952,23.78048780487805,47.5609756097561,95.1219512195122,190.2439024390244,380.4878048780488,760.9756097560976,1521.9512195121952
PCM Heaters Power,12.195121951219512,24.390243902439025,48.78048780487805,97.5609756097561,195.1219512195122,390.2439024390244,780.4878048780488,24.390243902439025,48.78048780487806,97.56097560975611,195.1219512195122,390.2439024390244,780.4878048780488,1560.9756097560976,48.78048780487805,97.5609756097561,195.1219512195122,390.2439024390244,780.4878048780488,1560.9756097560976,3121.951219512195,97.5609756097561,195.1219512195122,390.2439024390244,780.4878048780488,1560.9756097560976,3121.951219512195,6243.90243902439,195.1219512195122,390.2439024390244,780.4878048780488,1560.9756097560976,3121.951219512195,6243.90243902439,12487.80487804878,390.2439024390244,780.4878048780488,1560.9756097560976,3121.951219512195,6243.90243902439,12487.80487804878,24975.60975609756,780.4878048780488,1560.9756097560976,3121.951219512195,6243.902439024391,12487.804878048779,24975.609756097558,49951.219512195115
MRM Heaters Power,1.3697560975609755,2.0546341463414635,3.4243902439024385,6.1639024390243895,11.642926829268292,22.600975609756095,44.517073170731706,2.054634146341464,2.739512195121951,4.109268292682927,6.848780487804877,12.327804878048777,23.28585365853658,45.20195121951218,3.424390243902439,4.109268292682927,5.479024390243902,8.218536585365854,13.697560975609754,24.655609756097558,46.57170731707317,6.16390243902439,6.848780487804877,8.218536585365854,10.958048780487804,16.437073170731708,27.395121951219508,49.311219512195116,11.642926829268294,12.327804878048779,13.697560975609754,16.437073170731708,21.916097560975608,32.874146341463415,54.790243902439016,22.600975609756098,23.285853658536585,24.655609756097558,27.395121951219508,32.874146341463415,43.832195121951216,65.74829268292683,44.517073170731706,45.201951219512196,46.57170731707318,49.311219512195116,54.790243902439016,65.74829268292683,87.66439024390243
SRAM Program Power,0.03610000149924953,0.0685900028485741,0.1371800056971482,0.2286333428285804,0.3429500142428705,0.685900028485741,0.685900028485741,0.07216819682977725,0.1371195739765768,0.2742391479531536,0.4570652465885892,0.685597869882884,1.371195739765768,1.371195739765768,0.14420933697499505,0.2739977402524906,0.5479954805049811,0.9133258008416352,1.3699887012624528,2.7399774025249055,2.7399774025249055,0.2884186739499901,0.5479954805049811,1.0959909610099623,1.8266516016832703,2.7399774025249055,5.479954805049811,5.479954805049811,0.5768373478999802,1.0959909610099623,2.1919819220199246,3.6533032033665407,5.479954805049811,10.959909610099622,10.959909610099622,1.1536746957999604,2.1919819220199246,4.383963844039849,7.306606406733081,10.959909610099622,21.919819220199244,21.919819220199244,2.275302872272144,4.323075457317073,8.646150914634147,14.410251524390246,21.615377286585364,43.23075457317073,43.23075457317073
SRAM Compute Power,2.85458524251917,2.8557022541358075,2.8580603897709316,2.8612045706177645,2.8651347966763057,2.8769254748519284,2.8769254748519284,5.706655431961229,5.708888471043301,5.713602664661008,5.719888256151284,5.727745245514129,5.7513162136026645,5.7513162136026645,11.40326393534506,11.407726082102371,11.417146169701134,11.429706286499483,11.445406432497425,11.49250687049124,11.49250687049124,22.80652787069012,22.815452164204743,22.834292339402268,22.859412572998966,22.89081286499485,22.98501374098248,22.98501374098248,45.61305574138024,45.630904328409486,45.668584678804535,45.71882514599793,45.7816257299897,45.97002748196496,45.97002748196496,91.22611148276049,91.26180865681897,91.33716935760907,91.43765029199587,91.5632514599794,91.94005496392992,91.94005496392992,179.91816431322206,179.98856707317077,180.13719512195127,180.33536585365854,180.58307926829266,181.32621951219514,181.32621951219514
DRAM Program Power,2.8536585365853653,5.707317073170731,11.414634146341461,22.829268292682922,45.658536585365844,91.31707317073169,182.63414634146338,5.707317073170731,11.414634146341461,22.829268292682922,45.65853658536584,91.31707317073167,182.63414634146335,365.2682926829267,11.414634146341463,22.829268292682922,45.658536585365844,91.31707317073167,182.63414634146338,365.26829268292676,730.5365853658535,22.829268292682926,45.658536585365844,91.31707317073169,182.63414634146335,365.26829268292676,730.5365853658535,1461.073170731707,45.65853658536585,91.31707317073169,182.63414634146338,365.2682926829267,730.5365853658535,1461.073170731707,2922.146341463414,91.3170731707317,182.63414634146338,365.26829268292676,730.5365853658534,1461.073170731707,2922.146341463414,5844.292682926828,182.63414634146338,365.2682926829268,730.5365853658536,1461.073170731707,2922.1463414634136,5844.292682926827,11688.585365853654
