,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Clock Area,0.042,0.063,0.10500000000000001,0.189,0.35700000000000004,0.6930000000000001,1.365,0.063,0.084,0.126,0.21000000000000002,0.378,0.7140000000000001,1.3860000000000001,0.10500000000000001,0.126,0.168,0.252,0.42000000000000004,0.756,1.4280000000000002,0.189,0.21000000000000002,0.252,0.336,0.504,0.8400000000000001,1.512,0.35700000000000004,0.378,0.42000000000000004,0.504,0.672,1.008,1.6800000000000002,0.6930000000000001,0.7140000000000001,0.756,0.8400000000000001,1.008,1.344,2.016,1.365,1.3860000000000001,1.4280000000000002,1.512,1.6800000000000002,2.016,2.688
Rx AFE Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCs Power,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325
PS Power,8.816326530612246,13.224489795918368,22.040816326530614,39.673469387755105,74.93877551020408,145.46938775510205,286.53061224489795,13.224489795918368,17.63265306122449,26.448979591836736,44.08163265306123,79.34693877551021,149.87755102040816,290.9387755102041,22.040816326530614,26.448979591836736,35.26530612244898,52.89795918367347,88.16326530612245,158.69387755102042,299.7551020408163,39.673469387755105,44.08163265306123,52.89795918367347,70.53061224489797,105.79591836734694,176.3265306122449,317.38775510204084,74.93877551020408,79.34693877551021,88.16326530612245,105.79591836734694,141.06122448979593,211.59183673469389,352.6530612244898,145.46938775510205,149.87755102040816,158.69387755102042,176.3265306122449,211.59183673469389,282.12244897959187,423.18367346938777,286.53061224489795,290.9387755102041,299.7551020408163,317.38775510204084,352.6530612244898,423.18367346938777,564.2448979591837
ODAC Drivers Power,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325,18.36734693877551,36.73469387755102,73.46938775510203,146.93877551020407,293.87755102040813,587.7551020408163,1175.5102040816325
PCM Heaters Power,13.061224489795917,26.122448979591834,52.24489795918367,104.48979591836734,208.97959183673467,417.95918367346934,835.9183673469387,26.122448979591834,52.24489795918367,104.48979591836734,208.97959183673467,417.95918367346934,835.9183673469387,1671.8367346938774,52.24489795918367,104.48979591836734,208.97959183673467,417.95918367346934,835.9183673469387,1671.8367346938774,3343.6734693877547,104.48979591836734,208.97959183673467,417.95918367346934,835.9183673469387,1671.8367346938774,3343.6734693877547,6687.346938775509,208.97959183673467,417.95918367346934,835.9183673469387,1671.8367346938774,3343.6734693877547,6687.346938775509,13374.693877551019,417.95918367346934,835.9183673469387,1671.8367346938774,3343.6734693877547,6687.346938775509,13374.693877551019,26749.387755102038,835.9183673469387,1671.8367346938774,3343.6734693877547,6687.346938775509,13374.693877551019,26749.387755102038,53498.775510204076
MRM Heaters Power,1.0579591836734692,1.586938775510204,2.6448979591836728,4.760816326530612,8.99265306122449,17.45632653061224,34.38367346938775,1.586938775510204,2.1159183673469384,3.173877551020408,5.2897959183673455,9.521632653061223,17.98530612244898,34.91265306122448,2.6448979591836728,3.173877551020408,4.231836734693877,6.347755102040816,10.579591836734691,19.043265306122446,35.97061224489796,4.760816326530612,5.2897959183673455,6.347755102040816,8.463673469387754,12.695510204081632,21.159183673469382,38.08653061224489,8.99265306122449,9.521632653061223,10.579591836734691,12.695510204081632,16.927346938775507,25.391020408163264,42.318367346938764,17.45632653061224,17.98530612244898,19.043265306122446,21.159183673469382,25.391020408163264,33.854693877551014,50.78204081632653,34.38367346938775,34.91265306122448,35.97061224489796,38.08653061224489,42.318367346938764,50.78204081632653,67.70938775510203
SRAM Program Power,0.03918367346938775,0.0783673469387755,0.156734693877551,0.313469387755102,0.626938775510204,1.253877551020408,2.507755102040816,0.0783673469387755,0.156734693877551,0.313469387755102,0.626938775510204,1.253877551020408,2.507755102040816,5.015510204081632,0.156734693877551,0.313469387755102,0.626938775510204,1.253877551020408,2.507755102040816,5.015510204081632,10.031020408163265,0.313469387755102,0.626938775510204,1.253877551020408,2.507755102040816,5.015510204081632,10.031020408163265,20.06204081632653,0.626938775510204,1.253877551020408,2.507755102040816,5.015510204081632,10.031020408163265,20.06204081632653,40.12408163265306,1.253877551020408,2.507755102040816,5.015510204081632,10.031020408163265,20.06204081632653,40.12408163265306,80.24816326530612,2.507755102040816,5.015510204081632,10.031020408163265,20.06204081632653,40.12408163265306,80.24816326530612,160.49632653061224
SRAM Compute Power,2.221301020408163,2.2385204081632653,2.2729591836734695,2.3418367346938775,2.4795918367346936,2.7551020408163267,3.306122448979592,4.442602040816326,4.4770408163265305,4.545918367346939,4.683673469387755,4.959183673469387,5.510204081632653,6.612244897959184,8.885204081632653,8.954081632653061,9.091836734693878,9.36734693877551,9.918367346938775,11.020408163265307,13.224489795918368,17.770408163265305,17.908163265306122,18.183673469387756,18.73469387755102,19.83673469387755,22.040816326530614,26.448979591836736,35.54081632653061,35.816326530612244,36.36734693877551,37.46938775510204,39.6734693877551,44.08163265306123,52.89795918367347,71.08163265306122,71.63265306122449,72.73469387755102,74.93877551020408,79.3469387755102,88.16326530612245,105.79591836734694,142.16326530612244,143.26530612244898,145.46938775510205,149.87755102040816,158.6938775510204,176.3265306122449,211.59183673469389
DRAM Program Power,3.056326530612244,6.112653061224488,12.225306122448975,24.45061224489795,48.9012244897959,97.8024489795918,195.6048979591836,6.112653061224488,12.225306122448975,24.45061224489795,48.9012244897959,97.8024489795918,195.6048979591836,391.2097959183672,12.225306122448975,24.45061224489795,48.9012244897959,97.8024489795918,195.6048979591836,391.2097959183672,782.4195918367344,24.45061224489795,48.9012244897959,97.8024489795918,195.6048979591836,391.2097959183672,782.4195918367344,1564.8391836734688,48.9012244897959,97.8024489795918,195.6048979591836,391.2097959183672,782.4195918367344,1564.8391836734688,3129.6783673469376,97.8024489795918,195.6048979591836,391.2097959183672,782.4195918367344,1564.8391836734688,3129.6783673469376,6259.356734693875,195.6048979591836,391.2097959183672,782.4195918367344,1564.8391836734688,3129.6783673469376,6259.356734693875,12518.71346938775
